광림동,음식/카페,아미송,643-1067,광무1길 23 (광림동)
광림동,패션,미인나라스포츠,641-6766," 한재로 184, (광무동)"
광림동,마트,대덕슈퍼,642-8812," 광무7길 2, (광무동)"
광림동,주유/가스,봉강주유소,643-9966," 한재로 118, (광무동)"
광림동,생활,그랑프리카센타,642-7276," 좌수영로 149, (광무동)"
광림동,생활,천년여성사우나,653-0018," 오림3길 6, (오림동)"
광림동,인테리어,SASA&톰과제리,654-3363," 좌수영로 311, (오림동)"
광림동,주유/가스,대창E&T여수주유소,653-1916," 좌수영로 348, (오림동)"
광림동,생활,고려카오디오,643-0031," 좌수영로 199, (광무동)"
광림동,마트,(주)이마트여수점,650-1063,좌수영로 277 (오림동)
광림동,마트,명동슈퍼,652-3943," 오림2길 5, (오림동)"
광림동,이미용,부영이용원,652-6857," 오림3길 19-1, (오림동)"
광림동,음식/카페,계수나무식당,653-3829," 오림3길 15, (오림동)"
광림동,전자제품,유로통신,652-7000," 오림1길 1, (오림동)"
광림동,생활,고려화원,643-2676," 좌수영로 63, (광무동)"
광림동,마트,두산여수상사,642-6737," 좌수영로 193-1, (광무동)"
광림동,마트,고흥슈퍼,641-7184," 광무3길 42, (광무동)"
광림동,생활,르노삼성자동차여수정비소,652-5442,좌수영로 284 (오림동)
광림동,음식/카페,제흥식당,642-0754," 좌수영로 59, (광무동)"
광림동,레저/취미,서울낚시사,643-4339," 좌수영로 195-1, (광무동)"
광림동,마트,보부상사,654-3030," 좌수영로 249, (오림동)"
광림동,마트,삼웅상사,653-1417," 오림3길 12-12, (오림동)"
광림동,생활,형제광고나염,642-0798," 좌수영로 138, (연등동)"
광림동,음식/카페,처갓집양념통닭,643-1896," 광무1길 3-1, (광무동)"
광림동,패션,협립양산,643-3626, 광무동 292-2
광림동,이미용,라라미용실,643-0703," 광무5길 3, (광무동)"
광림동,건강,숯과사람,641-0057," 좌수영로 21, (광무동)"
광림동,패션,소이 여수교동점,0,"통제영3길 10, 1층 (교동)1층"
광림동,음식/카페,진남체육공원식당,061-653-7074,진남체육관길 29 (오림동)
국동,식품/청과,건어물중매인75호(고흥상회),643-1794,봉산동 100-5 수협공판장내
국동,마트,라인마트,641-1408," 구봉길 79, 1차 113호 (국동, 라인상가)"
국동,마트,시영연쇄점,642-8748," 구봉길 31, 1-4호 (국동, 구봉상가)"
국동,식품/청과,뚜레쥬르(여수국동점),642-3927, 신월로 677 (국동)
국동,마트,스마일마트,643-0012, 어항로 6 (국동)
국동,마트,스타마트,643-9060," 신월로 655(국동,서희스타힐스@단지내상가B동2층201호)"
국동,식품/청과,선경수산,641-0771," 국포1로 7, (국동)"
국동,마트,신세계마트,643-6645, 신월로 709(국동)
국동,마트,중앙마트,641-7654," 구봉산길 48, 2층 (국동, 중앙제상가동지하)"
국동,마트,(주)롯데마트여수점,640-2527,(59761) 국포1로 36 (국동)
국동,마트,DC백화점,641-2681," 신월로 689, (국동)"
국동,식품/청과,주)우리들수산,642-1771," 국동남9길 21, (국동)"
국동,마트,고은마트,643-1569, 국동 주공A상가101
국동,음식/카페,잠수기회타운,640-2041," 어항단지로 13, (국동)"
국동,마트,농협국동지소,644-6161," 신월로 626, (국동)"
국동,식품/청과,상호유통,643-9232," 신월로 687, (국동)"
국동,주유/가스,구봉가스㈜,642-2033,국동남9길 14(국동)
국동,문구,온누리팬시,642-8283," 신월로 688, (국동)"
국동,정육,황소마을정육점,642-9901," 구봉산길 7-2, (국동)"
국동,생활,진주보석원,643-8876," 신월로 676, (국동)"
국동,주유/가스,국동주유소,641-5159," 신월로 725, (국동)"
남면,음식/카페,본동주점,665-9513, 남면 내외진길 23
남면,음식/카페,돋을볕,665-9632, 남면 장지해안길 25
남면,음식/카페,명가식당명가모텔,665-9520, 남면 내외진길 6-1
남면,마트,OK슈퍼,665-9549, 남면 우학리 685
남면,음식/카페,중앙식당,665-1212, 남면 내외진길 14-1
남면,음식/카페,우리식당,665-5045, 남면 우학리 693
남면,마트,여수농협남면지점,665-9705, 남면 내외진길 24
남면,음식/카페,상록수식당,665-9506, 남면 내외진안길 24-4
남면,음식/카페,여남식당,665-9546, 남면 우학리 189
대교동,식품/청과,희경상회,," 봉산2로 8, (봉산동)"
대교동,식품/청과,진영수산,642-2711," 남산로 60-21, (남산동)"
대교동,마트,대박할인마트,641-7860," 남산로 60-2, (남산동)"
대교동,음식/카페,소선우숯불갈비,642-9254," 봉산1로 33, (봉산동)"
대교동,레저/취미,노다지복권방,643-3233," 봉산1로 12, (봉산동)"
대교동,음식/카페,하림멕시칸,641-4976," 봉산1로 11, (봉산동)"
대교동,생활,보은해수탕,642-8118," 봉산남3길 23-8, (봉산동)"
대교동,생활,여남기타공업사,643-6740,남산로 113 (남산동)
대교동,식품/청과,우리맛김치,642-7772," 남산로 60-2, (남산동)"
대교동,식품/청과,고흥미곡,642-1955, 남산동 1165-11
대교동,건강,남산건강원,642-2675," 남산북9길 20-1, (남산동)"
대교동,음식/카페,선미횟집,641-8737," 남산북9길 12, (남산동)"
대교동,생활,정우세탁뱅크,642-0018," 남산북6길 2, (남산동)"
대교동,인테리어,영진씽크,642-3150,남산로 113 (남산동)
대교동,생활,영신3급카센타,641-0290," 봉산2로 7, (봉산동)"
대교동,식품/청과,창성청과,642-5319," 봉산남4길 14, (봉산동)"
대교동,음식/카페,연육교OB에어,643-8412," 대교로 9-1, (봉산동)"
대교동,음식/카페,대진식당,642-8094," 봉산남1길 9, (봉산동)"
대교동,마트,성창종합상사,641-2560," 어항로 47, (봉산동)"
